url|Date|Location|Info|Player|pl1_bet|pl2_bet|ply
/player/petrovic-38c78/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2046004|Petrovic D.|1.85|1.85|p1
/player/tadic-3669f/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2046004|Tadic V.|1.85|1.85|p2
/player/zielinski-20761/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045990|Zielinski M.|1.85|1.85|p1
/player/eisinga/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045990|Eisinga Z.|1.85|1.85|p2
/player/dhoe/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045986|Dhoe B.|1.85|1.85|p1
/player/koch-40496/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045986|Koch N.|1.85|1.85|p2
/player/nagy-65656/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2046002|Nagy P.|1.85|1.85|p1
/player/kekez-8dbed/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2046002|Kekez D.|1.85|1.85|p2
/player/rojas-75841/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045984|Rojas O.|1.85|1.85|p1
/player/pierre/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045984|Pierre H.|1.85|1.85|p2
/player/dafcik/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2046000|Dafcik T.|2.15|1.62|p1
/player/jovanovic-9f2af/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2046000|Jovanovic P.|2.15|1.62|p2
/player/sollie/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045982|Sollie T.|2.15|1.62|p1
/player/de-krom/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045982|De Krom M.|2.15|1.62|p2
/player/matsuda-ad000/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2046380|Matsuda R.|2.15|1.62|p1
/player/beckley/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2046380|Beckley A.|2.15|1.62|p2
/player/jones-1567c/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045918|Jones A.|1.6|2.15|p1
/player/dickerson-b5345/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045918|Dickerson R.|1.6|2.15|p2
/player/steiner-7d2c8/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045920|Steiner M.|2.21|1.58|p1
/player/altamirano-763f5/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045920|Altamirano C.|2.21|1.58|p2
/player/bybel/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045930|Bybel N.|2.53|1.44|p1
/player/martin-a1ff9/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045930|Martin T.|2.53|1.44|p2
/player/flores-d3104/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045926|Flores J.|2.53|1.44|p1
/player/panta-7a00d/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045926|Panta J.|2.53|1.44|p2
/player/perez-37652/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045922|Perez A.|1.03|8.98|p1
/player/short-aa21f/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045922|Short E.|1.03|8.98|p2
/player/lilov-8f33a/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045916|Lilov V.|2.34|1.51|p1
/player/damm-4f98a/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045916|Damm M.|2.34|1.51|p2
/player/patten-204b5/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045924|Patten H.|1.05|7.45|p1
/player/valsecchi-a9cdd/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045924|Valsecchi P.|1.05|7.45|p2
/player/markes/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045928|Markes C.|1.59|2.13|p1
/player/mbithi/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045928|Mbithi M.|1.59|2.13|p2
/player/hazawa-9e391/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2046370|Hazawa S.|1.59|2.13|p1
/player/bagnolini/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2046370|Bagnolini D.|1.59|2.13|p2
/player/mu-1ad97/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2046374|Mu T.|1.59|2.13|p1
/player/takahata-acdb6/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2046374|Takahata R.|1.59|2.13|p2
/player/imamura-da963/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2046372|Imamura M.|1.59|2.13|p1
/player/dubouch/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2046372|Dubouch M.|1.59|2.13|p2
/player/benchakroun-722ce/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2046368|Benchakroun M.|1.59|2.13|p1
/player/brigida/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2046368|Brigida O.|1.59|2.13|p2
/player/yamasaki-feffb/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045644|Yamasaki J.|1.3|3.21|p1
/player/lofman/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045644|Lofman A.|1.3|3.21|p2
/player/perez-contri/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045646|Perez Contri S.|1.27|3.38|p1
/player/echeverria-ef17c/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045646|Echeverria J.|1.27|3.38|p2
/player/curras-abasolo/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045650|Curras Abasolo T.|1.25|3.53|p1
/player/beecher-12bc1/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045650|Beecher M.|1.25|3.53|p2
/player/coelho-8a96d/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045422|Coelho F.|1.49|2.42|p1
/player/goldsteiner/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045422|Goldsteiner P.|1.49|2.42|p2
/player/piraino/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2046184|Piraino G.|1.49|2.42|p1
/player/marquiselli/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2046184|Marquiselli V.|1.49|2.42|p2
/player/marino-81908/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045934|Marino P.|1.71|1.97|p1
/player/parizzia/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045934|Parizzia N.|1.71|1.97|p2
/player/soriano-barrera/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045648|Soriano Barrera A.|1.11|5.64|p1
/player/martinez-61830/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045648|Martinez M.|1.11|5.64|p2
/player/martinez-martinez-cdda0/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045418|Martinez Martinez J.|4.05|1.19|p1
/player/friedler/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045418|Friedler A.|4.05|1.19|p2
/player/knaff/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045936|Knaff A.|1.08|6.53|p1
/player/zanotti-58057/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045936|Zanotti A.|1.08|6.53|p2
/player/sebesta/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045420|Sebesta J.|1.97|1.72|p1
/player/calzi/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045420|Calzi R.|1.97|1.72|p2
/player/barroso-campos/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045642|Barroso Campos A.|1.03|9.63|p1
/player/tanner-01f2e/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045642|Tanner G.|1.03|9.63|p2
/player/florig/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045932|Florig P.|1.38|2.71|p1
/player/pokorny-6f34e/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045932|Pokorny L.|1.38|2.71|p2
/player/deschamps-af697/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045660|Deschamps T.|1.05|7.88|p1
/player/ferrarolli/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045660|Ferrarolli D.|1.05|7.88|p2
/player/garcia-9628f/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045434|Garcia M.|4.24|1.17|p1
/player/teodorovic/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045434|Teodorovic P.|4.24|1.17|p2
/player/duncan-6d574/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045450|Duncan S.|2.05|1.6|p1
/player/ortenzi-11d4c/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045450|Ortenzi G.|2.05|1.6|p2
/player/lopez-f2d4a/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045448|Lopez N.|1.85|1.75|p1
/player/iamachkine/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045448|Iamachkine P.|1.85|1.75|p2
/player/de-rueda-de-genover/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045446|De Rueda De Genover I.|1.6|2.05|p1
/player/moghini/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045446|Moghini G.|1.6|2.05|p2
/player/braithwaite/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2044718|Braithwaite T.|3.15|1.27|p1
/player/misrahi/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2044718|Misrahi J.|3.15|1.27|p2
/player/shiraishi-6f6a9/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2044558|Shiraishi H.|1.13|4.6|p1
/player/morolli/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2044558|Morolli A.|1.13|4.6|p2
/player/matsuda-ad000/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2044722|Matsuda R.|1.13|4.6|p1
/player/franco-3ac7e/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2044722|Franco T.|1.13|4.6|p2
/player/ivanov-a2e30/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045440|Ivanov V.|1.5|2.3|p1
/player/planelles-ripoll/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045440|Planelles Ripoll G.|1.5|2.3|p2
/player/yunchaokete/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2044716|Yunchaokete B.|1.03|7.65|p1
/player/hansch-mauritzson/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2044716|Hansch Mauritzson F.|1.03|7.65|p2
/player/scaglia-80e23/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2044838|Scaglia M.|1.4|2.55|p1
/player/roggero-c984a/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2044838|Roggero T.|1.4|2.55|p2
/player/versier/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045652|Versier V.|2.2|1.55|p1
/player/cekirge/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045652|Cekirge K.|2.2|1.55|p2
/player/beckley/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2044720|Beckley A.|1.41|2.53|p1
/player/schaer-480c0/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2044720|Schaer R.|1.41|2.53|p2
/player/hess-d7693/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2044840|Hess S.|1.17|4.0|p1
/player/ballekere-ravikumar/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2044840|Ballekere Ravikumar N.|1.17|4.0|p2
/player/orlikowski-5b17a/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045436|Orlikowski A.|1.2|3.95|p1
/player/mostardi/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045436|Mostardi N.|1.2|3.95|p2
/player/aubriot/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2044714|Aubriot A.|1.12|4.75|p1
/player/antinheimo/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2044714|Antinheimo O.|1.12|4.75|p2
/player/kellovsky/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045442|Kellovsky D.|1.75|1.85|p1
/player/porras/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045442|Porras J.|1.75|1.85|p2
/player/cohen-6214c/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045444|Cohen A.|2.2|1.55|p1
