url|Location|Surface
https://www.tennisexplorer.com/bundesliga-men|Bundesliga - men|clay
https://www.tennisexplorer.com/amersfoort-challenger|Amersfoort challenger|clay
https://www.tennisexplorer.com/astana-5-challenger|Astana 5 challenger|hard
https://www.tennisexplorer.com/bastad|Bastad|clay
https://www.tennisexplorer.com/newport|Newport|grass
https://www.tennisexplorer.com/gstaad|Gstaad|clay
https://www.tennisexplorer.com/los-cabos|Los Cabos|hard
https://www.tennisexplorer.com/nur-sultan-4-challenger|Nur-Sultan 4 challenger|hard
https://www.tennisexplorer.com/pozoblanco-challenger|Pozoblanco challenger|hard
https://www.tennisexplorer.com/tampere-challenger|Tampere challenger|clay
https://www.tennisexplorer.com/umag|Umag|clay
https://www.tennisexplorer.com/olympics-tokyo|Olympics - Tokyo|hard
https://www.tennisexplorer.com/atlanta|Atlanta|hard
https://www.tennisexplorer.com/lexington-challenger|Lexington challenger|hard
https://www.tennisexplorer.com/poznan-challenger|Poznan challenger|clay
https://www.tennisexplorer.com/segovia-challenger|Segovia challenger|hard
https://www.tennisexplorer.com/washington|Washington|hard
https://www.tennisexplorer.com/liberec-challenger|Liberec challenger|clay
https://www.tennisexplorer.com/toronto|Toronto|hard
https://www.tennisexplorer.com/meerbusch-challenger|Meerbusch challenger|clay
https://www.tennisexplorer.com/prague-4-challenger|Prague 4 challenger|clay
https://www.tennisexplorer.com/san-marino-challenger|San Marino challenger|clay
https://www.tennisexplorer.com/cincinnati|Cincinnati|hard
https://www.tennisexplorer.com/luedenscheid-challenger|Luedenscheid challenger|clay
https://www.tennisexplorer.com/verona-challenger|Verona challenger|clay
https://www.tennisexplorer.com/winston-salem|Winston Salem|hard
https://www.tennisexplorer.com/barletta-challenger|Barletta challenger|clay
https://www.tennisexplorer.com/prague-5-challenger|Prague 5 challenger|clay
https://www.tennisexplorer.com/warsaw-challenger|Warsaw challenger|clay
https://www.tennisexplorer.com/como-challenger|Como challenger|clay
https://www.tennisexplorer.com/st-tropez-challenger|St. Tropez challenger|hard
https://www.tennisexplorer.com/mallorca-challenger|Mallorca challenger|hard
https://www.tennisexplorer.com/banja-luka-challenger|Banja Luka challenger|clay
