Location|pl1_bet|pl2_bet|Winner|pl1_flag|pl1_year_pro|pl1_weight|pl1_height|pl1_hand|pl1_age|Loser|pl2_flag|pl2_year_pro|pl2_weight|pl2_height|pl2_hand|pl2_age|Surface|Date
Davis Cup|1.25|3.3|Weintraub B.|Israel|2020|||right|21.0|Monclus Martin M.|Spain|2021|||right|21.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Abibsi M.|Algeria|2016|||right|22.0|Benedict L.|Austria|2020|||right||Varioussurfaces|20220306
Davis Cup|1.25|3.3|Kaufmann H.|Austria|2019|||right||Marchetti F.|Italy|2015|||right|23.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Egea F.|Argentina|2012|||right||Morais D.|Portugal|2021|||right||Varioussurfaces|20220306
Davis Cup|1.25|3.3|Isomura K.|Japan|2021|||right|21.0|Bielinskyi V.|Ukraine|2020|||right|20.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|De Giorgio P.|Italy|2016|||right|25.0|Stipetic R.|Croatia|2021|||right|21.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Scomparin P.|Italy|2017|||right|23.0|Penkner Y.|Austria|2021|||right|20.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Moore E.|GreatBritain|2014|||right|26.0|Ahmed O.|SaudiArabia|2017|||right|27.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Rossi L.|Italy|2021|||right|22.0|Lofman A.|Finland|2017|||right|22.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Agostinetto G.|Italy|2017|||right|27.0|Luca A.|Romania|2020|||right|22.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Hopp M.|Germany|2018|||right|25.0|Kazakov I.|Russia|2018|||right|22.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Pjevcevic P.|Serbia|2012|||right|29.0|Kovacic T.|Slovenia|2016|||right|26.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Shirdel S.|Iran|2022|||right||Oshita S.|Japan|2022|||right|19.0|Varioussurfaces|20220306
