Surface|pl1|pl1_flag|pl1_hand|pl1_bet|pl2|pl2_flag|pl2_hand|pl2_bet|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight|DiffAge|DiffBet
hard|Basic N.|HRV|Right-Handed|1.11|Krapivin M.|RUS|Right-Handed|5.2|1.0||14.5|0.0|0.0|-2.0|-4.09
hard|Zhang Z.|CHN|Right-Handed|1.71|Cilic M.|HRV|Right-Handed|2.12|1.0||-339.0|-2.0|-5.0|-8.0|-0.41000000000000014
hard|Ganesan A.|ITA|Right-Handed|3.05|Shin W.|KOR|Right-Handed|1.33|0.0|-4.0|-14.5|0.0|0.0|-2.0|1.7199999999999998
hard|Bass F.|ITA|Right-Handed|1.31|Rivera L.|NOR|Right-Handed|3.12|0.0|5.0|-14.5|8.0|-3.0|2.0|-1.81
hard|Vincent A.|FRA|Right-Handed|1.11|Krolo F.|DEU|Right-Handed|5.2|0.0|3.0|-14.5|0.0|0.0|3.0|-4.09
hard|Daljev P.|SRB|Right-Handed|7.25|Whitehouse M.|ITA|Right-Handed|1.05|1.0||14.5|8.0|10.0|1.0|6.2
hard|Rivera L.|NOR|Right-Handed|3.12|Bass F.|ITA|Right-Handed|1.31|1.0||14.5|-8.0|3.0|-2.0|1.81
hard|Hulme M.|AUS|Right-Handed|1.33|Brown H.|AUS|Right-Handed|3.25|0.0|4.0|-14.5|0.0|0.0|0.0|-1.92
hard|Harris B.|ITA|Right-Handed|2.6|Bautista-Agut R.|ESP|Right-Handed|1.46|1.0||14.5|11.0|8.0|-7.0|1.1400000000000001
Varioussurfaces|Otegui J.|ARG|Right-Handed|1.07|Vazquez F.|ARG|Right-Handed|7.5|0.0|9.0|-14.5|5.0|8.0|1.0|-6.43
Varioussurfaces|Ramirez T.|ARG|Right-Handed|2.1|Capalbo F.|ARG|Right-Handed|1.67|1.0||14.5|0.0|0.0|-3.0|0.43000000000000016
hard|Yu B.|CHN|Right-Handed|5.91|Barki J.|IDN|Right-Handed|1.1|1.0||14.5|0.0|0.0|1.0|4.8100000000000005
hard|Martin Manzano J.|ITA|Left-Handed|1.1|De Filippo G.|ITA|Right-Handed|5.7|0.0|-4.0|-14.5|0.0|0.0|-4.0|-4.6
clay|Cerundolo J.|ARG|Left-Handed|1.11|Pereira J.|BRA|Right-Handed|5.94|0.0|-11.0|-14.5|-6.0|3.0|-11.0|-4.83
hard|Aguilar Cardozo J.|URY|Right-Handed|1.09|Lehmann N.|ARG|Left-Handed|6.01|0.0|-1.0|-14.5|0.0|0.0|6.0|-4.92
hard|Ozdemir S.|TUR|Right-Handed|3.74|Mouhan A.|LBY|Right-Handed|1.21|0.0|2.0|-14.5|0.0|0.0|-1.0|2.5300000000000002
hard|Geerts M.|BEL|Right-Handed|1.01|Stidell F.|SWE|Right-Handed|12.06|0.0|9.0|-187.5|-5.0|-5.0|6.0|-11.05
clay|Kovalik J.|SVK|Right-Handed|1.51|Klizan M.|SVK|Left-Handed|2.44|0.0|-2.0|-77.0|-3.0|-8.0|-4.0|-0.9299999999999999
indoors|Bonzi B.|FRA|Right-Handed|1.6|Rodionov J.|AUT|Left-Handed|2.24|0.0|2.0|68.0|-10.0|-6.0|3.0|-0.6400000000000001
hard|Krolo F.|DEU|Right-Handed|5.2|Vincent A.|FRA|Right-Handed|1.11|1.0||14.5|0.0|0.0|-3.0|4.09
hard|Ishimwe C.|RWA|Right-Handed|11.0|Spiridon D.|ITA|Right-Handed|1.01|1.0||14.5|0.0|0.0|-4.0|9.99
hard|Safwat M.|EGY|Right-Handed|1.03|Reddy R.|IND|Right-Handed|9.78|0.0|8.0|30.5|5.0|-3.0|7.0|-8.75
hard|Pieri S.|ITA|Right-Handed|1.04|Mishkin K.|RUS|Left-Handed|9.0|0.0|-3.0|-14.5|0.0|0.0|1.0|-7.96
hard|Simonsson F.|SWE|Right-Handed|1.71|Karlsson Wistrand J.|SWE|Right-Handed|2.01|0.0|11.0|-339.5|-3.0|5.0|7.0|-0.2999999999999998
hard|Van De Zandschulp B.|NLD|Right-Handed|1.44|Nardi L.|ITA|Right-Handed|2.7|0.0|7.0|583.0|5.0|5.0|7.0|-1.2600000000000002
hard|Wang A.|CHN|Right-Handed|13.1|Safiullin R.|RUS|Right-Handed|1.03|1.0||-286.5|11.0|6.0|0.0|12.07
indoors|Eysseric J.|FRA|Left-Handed|11.33|Fearnley J.|ITA|Right-Handed|1.04|1.0||-193.0|2.0|-3.0|11.0|10.29
hard|Weber A.|FRA|Left-Handed|3.17|Shimizu Y.|JPN|Left-Handed|1.32|1.0||291.5|16.0|20.0|7.0|1.8499999999999999
hard|Karatsev A.|RUS|Right-Handed|1.17|Marchenko I.|UKR|Right-Handed|4.64|0.0|-6.0|389.0|3.0|0.0|-6.0|-3.4699999999999998
hard|Fognini F.|ITA|Right-Handed|2.92|Rinderknech A.|FRA|Right-Handed|1.38|1.0||-329.0|-7.0|-18.0|8.0|1.54
hard|Ehrenschneider N.|DEU|Right-Handed|1.51|Fellin P.|ITA|Right-Handed|2.33|1.0||14.5|0.0|0.0|0.0|-0.8200000000000001
hard|Sakellaridis D.|GRC|Right-Handed|1.7|Goldsteiner P.|AUT|Right-Handed|1.97|0.0|-11.0|-14.5|13.0|10.0|-16.0|-0.27
clay|Skatov T.|KAZ|Right-Handed|1.32|Silva F.|PRT|Left-Handed|3.19|1.0||205.0|-1.0|-5.0|-6.0|-1.8699999999999999
hard|Horve L.|ITA|Right-Handed|2.72|Okonkwo O.|ITA|Right-Handed|1.38|1.0||14.5|0.0|0.0|0.0|1.3400000000000003
hard|Hsu Y.|ITA|Right-Handed|2.17|Walton A.|AUS|Right-Handed|1.63|1.0||-97.0|-6.0|-7.0|0.0|0.54
hard|Lehmann N.|ARG|Left-Handed|6.01|Aguilar Cardozo J.|URY|Right-Handed|1.09|1.0||14.5|0.0|0.0|-6.0|4.92
hard|Lieberman H.|ITA|Right-Handed|12.29|Nakagawa N.|JPN|Right-Handed|1.03|1.0||14.5|3.0|3.0|-3.0|11.26
hard|Iannaccone F.|ITA|Right-Handed|3.0|Michalski D.|POL|Right-Handed|1.34|1.0||14.5|1.0|3.0|1.0|1.66
hard|Plunger M.|ITA|Right-Handed|1.13|Ymer R.|SWE|Right-Handed|5.14|0.0|1.0|-14.5|0.0|0.0|4.0|-4.01
hard|Bilardo J.|ITA|Right-Handed|3.67|Serafini M.|ITA|Right-Handed|1.23|0.0|-1.0|-14.5|0.0|0.0|-2.0|2.44
clay|Piros Z.|HUN|Right-Handed|2.03|Rincon D.|ESP|Left-Handed|1.73|0.0|4.0|333.0|-10.0|-3.0|3.0|0.2999999999999998
hard|Eubanks C.|ITA|Right-Handed|1.2|Artnak B.|SVN|Right-Handed|4.22|0.0|9.0|981.5|4.0|18.0|8.0|-3.0199999999999996
hard|Konov S.|BGR|Right-Handed|5.7|Marinescu M.|ROU|Right-Handed|1.1|1.0||14.5|0.0|0.0|-1.0|4.6
hard|Ovcharenko O.|UKR|Right-Handed|1.62|Sorger S.|AUT|Right-Handed|2.15|0.0|4.0|-14.5|0.0|0.0|4.0|-0.5299999999999998
